dog_id,gender,pet_breed,dob,dod,is_neutered
0,Female,"Pointer, German Shorthaired",2014-11-29 11:16:00+00:00,,True
1,Male,"Terrier, Yorkshire",2010-09-23 00:00:00+00:00,,True
2,Male,"Retriever, Labrador",2015-05-03 16:25:00+00:00,,True
3,Female,"Retriever, Labrador",2015-03-20 00:00:00+00:00,,True
4,Male,Pit Bull,2012-07-17 00:00:00+00:00,,True
5,Male,Mastiff,2017-08-18 10:54:00+00:00,,False
6,Male,Mixed Breed,2019-02-08 00:00:00+00:00,,True
7,Male,"Shepherd, German",2013-12-19 15:38:00+00:00,,True
8,Male,"Retriever, Golden",2017-07-17 00:00:00+00:00,,True
9,Female,Great Dane,2017-08-10 00:00:00+00:00,,True
10,Female,"Retriever, Labrador",2014-08-12 15:55:00+00:00,,True
11,Male,Pit Bull,2017-07-27 00:00:00+00:00,,True
12,Female,"Shepherd, Australian",2015-04-04 11:05:00+00:00,,True
13,Male,"Terrier, Yorkshire",2010-09-27 16:23:00+00:00,,True
14,Male,Mixed Breed,2005-10-27 00:00:00+00:00,2021-07-05T14:50:57.000Z,True
15,Female,Husky,2008-12-29 15:35:00+00:00,,True
16,Male,"Dachshund, Long Haired",2017-12-13 00:00:00+00:00,,True
17,Female,Pug,2015-12-14 19:54:00+00:00,2021-07-02T13:54:00.000Z,True
18,Female,Red Heeler,2013-11-20 00:00:00+00:00,,True
19,Male,"Shepherd, German",2011-11-11 16:01:00+00:00,,True
20,Female,Chihuahua,2018-08-05 00:00:00+00:00,,True
21,Female,"Shepherd, Australian",2015-02-13 09:57:00+00:00,,True
22,Male,"Retriever, Golden",2017-02-11 00:00:00+00:00,,True
23,Female,"Retriever, Labrador",2014-11-01 00:00:00+00:00,,True
24,Male,Maltese,2017-05-02 15:18:00+00:00,,True
25,Male,"Retriever, Golden",2007-10-04 00:00:00+00:00,,True
26,Male,Pit Bull,2017-11-03 15:09:00+00:00,,True
27,Female,"Retriever, Golden",2012-10-08 10:31:00+00:00,,True
28,Male,"Pointer, English",2018-09-29 00:00:00+00:00,,True
29,Male,"Terrier, Bull",2017-09-01 12:51:00+00:00,,True
30,Male,Shih Tzu,2017-01-02 16:11:00+00:00,,True
31,Male,"Terrier, American Staffordshire",2018-11-16 00:00:00+00:00,,True
32,Male,Rottweiler,2018-11-06 15:47:00+00:00,,True
33,Male,Poodle,2017-01-20 16:32:00+00:00,,False
34,Male,"Shepherd, German",2013-10-23 00:00:00+00:00,,True
35,Male,"Retriever, Labrador",2017-12-28 15:09:00+00:00,,True
36,Female,"Bulldog, English",2013-09-23 10:01:00+00:00,2021-06-16T00:00:00.000Z,True
